inning,is_bot,outs,score_diff_bat,bases_idx,mean,count,LI
1,1,0,1,2,0.0542463,172,1.4802256
1,1,0,1,3,0.05512845,199,1.5042969
1,1,0,1,4,0.064889416,32,1.7706456
1,1,0,1,5,0.049734097,104,1.3571005
1,1,0,1,6,0.09688147,72,2.643617
1,1,0,1,7,0.065591104,78,1.7897927
1,1,0,2,0,0.033434995,197,0.9123449
1,1,0,2,1,0.040185854,111,1.0965564
1,1,0,2,2,0.036796704,58,1.0040762
1,1,0,2,3,0.06824359,60,1.8621714
1,1,0,2,4,0.036845565,11,1.0054095
1,1,0,2,5,0.06296171,40,1.7180442
1,1,0,2,6,0.041595336,25,1.1350172
1,1,0,2,7,0.05811389,28,1.5857611
1,1,0,3,0,0.03628012,102,0.9899802
1,1,0,3,1,0.0172779,51,0.47146422
1,1,0,3,2,0.034677308,25,0.94624406
1,1,0,3,3,0.03643576,28,0.9942272
1,1,0,3,4,0.09447938,2,2.5780706
1,1,0,3,5,0.061779004,9,1.6857713
1,1,0,3,6,0.03702657,4,1.0103487
1,1,0,3,7,0.027620861,14,0.7536939
1,1,0,4,0,0.03406236,37,0.92946386
1,1,0,4,1,0.02552867,14,0.696604
1,1,0,4,2,0.024953375,7,0.6809059
1,1,0,4,3,0.023990503,7,0.65463185
1,1,0,4,4,0.04201579,1,1.1464901
1,1,0,4,5,0.0929209,3,2.5355442
1,1,0,4,6,0.020833313,1,0.5684812
1,1,0,4,7,0.065814674,2,1.7958932
1,1,0,5,0,0.0147081455,15,0.40134302
1,1,0,5,1,0.029709488,6,0.8106865
1,1,0,5,2,0.01180172,2,0.322035
1,1,0,5,3,0.019673955,5,0.5368457
1,1,0,5,5,0.0,1,0.0
1,1,0,5,7,0.019991338,1,0.5455061
1,1,0,6,0,0.0074654818,4,0.20371154
1,1,0,7,6,0.0,1,0.0
1,1,0,8,0,0.0,1,0.0
1,1,0,8,5,0.0,1,0.0
1,1,1,-10,0,0.0,1,0.0
1,1,1,-10,1,0.0,2,0.0
1,1,1,-10,3,0.0,2,0.0
1,1,1,-9,0,0.0,2,0.0
1,1,1,-9,1,0.0,2,0.0
1,1,1,-8,0,0.0,4,0.0
