mlbam_id,lahman_id
680735,coxau01
691548,munozro02
116089,holloji01
817698,poreesa01
518960,lucrojo01
116758,jordari03
817023,tayloal01
596043,mengdda01
518875,kellesh01
819381,gilmole02
117264,koresar01
573016,martiky01
277184,wisema01
216897,snydeky01
111228,borbope02
116538,jestevi01
672386,kirkal01
115654,haywora01
117872,lohrmbi01
119026,michaca01
116042,hoganha01
658305,garcied01
111314,boydga01
122100,sheckji01
608701,refsnro01
817241,smith11
113906,espyce01
123393,tomsto01
110014,abbotod01
685410,battepe01
115289,haddiha01
600887,delpomi01
120040,oranto01
701305,dezenza01
572008,owingch01
110427,baergca01
119315,moorera02
492698,walshmi99
110642,barthle01
124218,whitnpi01
113245,delsaga01
817141,souelhe01
118289,marklge01
571974,murphjr01
675650,mercami01
119493,mullemo01
111720,burkeji01
150102,coggida01
817452,rojoju01
112626,cookmi01
150433,davisbe01
118988,messebu01
430627,fortuba01
117883,lombalo01
817458,rogerna01
121300,robinva01
682995,barcohu01
123406,torrejo01
816771,walkeca01
115870,hestela01
120580,pilledu01
425857,mannida01
451491,zumayjo01
808963,sasakro01
595371,rearich01
122269,singlel01
670224,misneka01
656413,faircst01
116986,kennera01
669467,pallaan01
116682,jonesdo01
543228,gomesya01
641341,bashlty01
133343,wilsopr01
116163,hortori01
115162,grimebu01
123819,walkedi01
118893,meadsda01
680604,castabl01
818616,kimbrhe01
123882,walshjo02
116099,holmash01
118945,mendoma01
122584,spencji01
689266,dodddy01
676059,westbjo01
110578,barneep01
123343,tillmjo01
122693,starrbi01
122392,smithge02
114230,flenehu01
116447,jacksbi01
111383,brandro01
430649,ochoaiv01
429481,mouncto01
817307,serrebo01
456499,pattesc01
116947,kellyjo02
124293,willile01
110071,adcocjo01
820695,applere01
819619,evansbi03
119423,mortoca01
122577,spencch01
818932,hudspro01
116128,hoopemi01
110114,alcalsa01
122683,staplda02
124267,wilkile01
816740,wardpi02
111130,boardfr01
641853,mckayda02
111486,brittja01
114847,glavelu01
491646,gomezje01
517059,depaujo02
122855,stransa01
596295,gombeau01
488776,chapmja02
459967,lecursa01
115460,hardyca01
114930,gonzafe01
120769,primra01
121531,ruckejo01
820042,cockeji01
408249,manonju01
116019,hoeyja01
113072,daughja01
114060,fenneho01
115783,henrybu01
150419,d'amije02
118509,mcandji01
664954,sullibr01
122303,skowrbi01
600301,motteta01
120153,pacheal01
122907,stumpge01
117474,langefr01
122341,smazajo01
621248,garzara01
113230,deleolu01
124199,whitemi01
116473,jamesbe01
115535,harrige01
120395,peppela01
606995,hancoju01
122371,smithda02
817684,powelbi02
116490,janowvi01
119347,moranmi01
119701,nelsoro01
119843,norrimi01
122427,smithro01
122636,staffbi01
136734,doteloc01
122739,stenhmi01
608335,funkhky01
818939,huberjo02
122599,spilmha01
115898,hicksbu01
118949,menento01
117087,kingsa01
123734,virdobi01
817909,overtal01
115305,haguebi01
407882,stranpa02
642136,thaisma01
451186,millela02
115212,grunwal01
820336,brownge04
115937,hillhe02
474443,dejesiv02
115929,hillbe01
122267,sinerho01
114471,fuhros01
114413,freezja01
118490,maynebr01
120700,pottne01
113896,escoban01
571439,alvarrj01
400291,moseldu01
117994,lukacro01
676220,elledse01
119931,o'delbi01
111494,brockjo01
121620,sagerpo01
112584,connoto01
110635,barryja01
444444,atkinmi01
119401,morriwa01
111252,bosmadi01
115521,harrigr01
547888,tanakma01
110118,aldresc01
292294,figuelu01
669302,gilbelo01
119172,minneda01
112561,conlajo01
115576,hartsto01
430599,blantjo01
123801,wakefti01
819953,crawfsa02
150393,armasto02
111360,bradycl01
117448,landdo01
120099,osterbi01
119045,milanho01
110541,bannoji01
117931,loucksc01
657656,laurera01
115799,herbero01
110565,barkeal01
122223,sigaffr01
818758,johnsji06
471919,nunezjh01
111853,cacered01
117181,kneisru01
117037,kieckda01
113279,dephito01
116359,hustaca01
113792,elderhe01
124680,yostgu01
458679,belljo01
115075,graydo01
122053,shannfr01
669194,nelsory01
118285,mariore01
115235,guisele01
124025,webstmi01
820523,bennesa01
119296,moorege02
134263,wilsoto02
506747,penafr01
119154,millwke01
116095,holmabr02
136661,santama01
117969,lubrast01
116198,howarch02
121073,rensato01
816758,walketo05
120909,ramosed01
118954,menzete01
118704,mcgiljo01
116575,johnsda01
113050,darincl01
492619,bezdehu99
119611,myattge01
120142,owensja01
819624,etcheca01
117916,lopezau01
115454,hardilo01
819480,fox03
686842,mooremc01
116598,johnsyo01
113848,engeljo01
118023,luzingr01
692285,guerrlu01
115509,harrijo01
665734,felipan01
117292,krameto01
123467,trimbjo01
118278,marbewa01
817112,starkji01
124503,wojnaed01
607054,peterja01
818248,mccoywa01
114365,foxbi01
818170,merrisc01
114836,givenbr01
111748,burnsfa01
150409,parkech01
467856,monasca01
114992,gottji01
663765,woodfja01
116565,johnsbo04
594815,ferreje01
114501,gablega02
666277,soriage01
120806,purdypi01
668674,erceglu01
542583,aguilje01
643550,somsela01
120322,payneha01
111220,boonera01
117941,lovelva01
134182,saipemi01
594943,nealza01
114518,gainede01
118908,meekda01
115921,higuete01
687066,yanger01
641432,calhowi01
119925,o'conjo02
116558,johnsra01
818104,monde03
122056,shannow01
114765,gielpa01
683627,molinan01
620454,castijo03
445216,mccutda01
110353,ashlebi01
676628,contrma01
123561,umbriji01
113468,doomsha01
122990,surkoma01
118753,mcinnst01
119659,nashji01
124193,whitebi01
120747,prattto02
123927,warddi01
118792,mclauby01
112711,cosgrmi01
819614,evansfe01
114448,friscfr01
461836,lambech01
116881,keatlgr01
111662,buckldi01
542942,blairca01
114846,glassja01
408226,britoju01
606336,martelu02
115306,hahndo01
122556,spadebo01
114997,gouzzcl01
116709,jonesre01
112944,cunnijo01
805249,kempot01
124748,zaungr01
674681,plassmi01
122522,sojolu01
114435,friedcy01
444886,mccleza01
110657,baskeji01
112026,carpifr01
120396,peppera01
460677,wadeco01
123495,tuckeol01
117169,klugmjo01
124270,wilkima01
113488,dosteda01
124143,wheelha01
124739,zambred01
517451,ortizjo05
543223,glennbr01
121871,schroke01
623439,gartory01
122897,stuardi01
124073,wellsgr01
500721,medinyo01
680739,windejo01
113354,dietzdu01
666208,speasal01
111936,campbpa01
115102,greenpa01
119250,monroed01
114262,floydbo01
119658,nashco01
819008,hockebr01
820369,brookje02
118579,mccloji01
133980,frankmi02
121101,reynoar01
817895,padroju01
119216,moellda01
607259,martini01
121648,sampebi01
642840,harvejo01
817707,pool03
820068,clarkma03
118655,mcdougi01
116307,humphal01
122513,snyderu01
110783,bedgoph01
121360,rodrito01
117367,kunzea01
111631,brunero01
543351,jacksja01
123238,thomapi01
121406,rojasco01
124391,wilsoze01
116967,keltyjo01
123213,tewksbo01
119000,metzgbu01
425471,gobblji01
670050,ridinst01
116136,hoovebu01
453954,hartke01
111780,burtsmo01
120589,pinnaed01
118545,mccarro01
116787,judniwa01
123640,vandufr01
118659,mcdowsa01
150208,rayke01
124185,whitero02
818830,jeffedo01
817306,cephaan01
477132,kershcl01
122152,shielto01
425543,wilsojo03
612434,castrmi01
818255,mcclubo02
116477,jamesch02
123309,thondi01
112178,chambro01
110250,andercr01
110265,andreed01
816898,treadha01
115561,hartefr01
110995,bilkost01
110762,beckri01
668715,steersp01
114368,foyjo01
492665,merrist99
817404,russeew01
543506,maurebr01
116761,jordati01
115303,hagerri01
117592,learyti01
817761,perrywa01
119453,motama01
123726,vinafe01
820072,clarkal03
120972,reardph01
115794,henshro01
123604,valdera01
116137,hopejo01
110396,averiea01
113940,evansre01
117923,lopezma01
114655,gatesjo01
123454,trekeha01
117347,kubskgi01
232994,stricsc02
622505,alcanvi01
115387,hamlike01
116639,johnsbi02
115350,halldi01
573113,rendato01
407093,jodiebr01
122862,straujo01
116559,johnsab02
816483,womacja01
818709,jones11
120016,o'neied01
120045,ordonre01
115042,granted01
120768,prietar01
112118,castica01
111510,brookha01
276526,walkeke02
119093,milleed01
115639,hayesbe01
670036,festama01
123045,sweenbi03
120650,polhema01
117823,littljo01
119841,norriji01
819615,evanscl01
119436,mosesje01
121553,rungepa01
110338,arochre01
453068,costami01
111908,caminke01
121810,schilch01
112807,crawfst01
119869,nunnajo01
119605,mussepa01
123205,terwidi01
121836,schmimi01
115588,hasendo01
150021,mcdonda02
119150,millsdi01
444436,webbry01
117569,laydege01
122511,snydejo02
124046,weingel01
122282,sistisi01
123401,torboje01
119718,nenro01
605508,tilsoch01
112329,clarkji01
819323,gordohe01
545363,turneja01
113510,dowiejo01
122384,smither01
444468,rondohe01
452657,lestejo01
819294,graywi01
110639,bartedi01
112188,chaneda01
121255,rixeyep01
119588,murraam01
123478,troupqu01
124028,weckbpe01
115696,heflira01
110113,alburvi01
114154,fishbsa01
111159,bohnejo01
124498,wohlema01
113274,dented01
235094,alvarju01
119977,olinfr01
121981,seiboso01
111890,callale01
118748,mchenau01
815800,turnete99
621035,tayloch03
119922,o'conda01
112741,couside01
111194,bongini01
110890,berblje01
429341,mckeoja99
150211,buchabr01
818507,lewisji03
121803,scherha01
460055,maybejo02
136730,pickeca01
541650,perezhe01
119863,noyeswi01
117863,loftoke01
276533,weberbe01
150466,abernbr01
110878,bentlcy01
115771,hennele01
124305,willied01
110399,avilera01
446481,rodrise01
572241,washida01
123606,valdese01
820104,chape01
123914,wardpi01
621082,lemoija01
445224,smithma04
625510,mejiaer01
110612,barrefr01
424505,garcire01
679922,duranca01
113655,durhaed01
571510,boydma01
114679,geerbi01
120601,pitkoal01
117446,lanceri01
124780,ziskri01
118581,mcclobi01
276534,rodrigu01
113253,demerjo01
818860,jacksli01
818910,hydeco01
112255,choatdo01
470516,duranlu01
116847,karnsbi01
695734,lileda01
119392,morrebi01
113975,faheyho01
116635,johnswa01
542923,beeleda01
503444,delacjo01
113109,davisgl01
518444,beavabl01
118091,mackto01
123034,sweench01
117329,krsniro01
113451,donnebl01
122984,sundigo01
112449,cogswed01
123814,walketi01
119716,nelsobi01
466459,rosarsa02
113976,faheybi01
111683,bullibu01
111077,blankcl01
123856,wallade01
523989,delarru01
124546,woodada01
119842,norrile01
121508,rowelba01
819201,hannile01
122639,stahlja01
119630,myersbi01
444430,toregwy01
671790,bolanro01
117374,kusnyar01
117497,laporfr01
596012,krameke01
430913,hennebr01
116304,hulveha01
115982,hitchst01
112486,colembo01
111026,bithohi01
121729,sawyewi01
434698,gorecre01
123991,watted01
685301,gorskma01
119169,minerra01
124717,youngro01
430897,swishni01
430629,hanrajo01
119736,newelto01
116541,jetersh01
592660,ravelra01
430907,shortri01
122706,steelel01
133342,ledeeri01
115195,groteje02
110910,berkefr01
111878,calhoja01
112961,curryst01
111251,bosleth01
425651,fordma01
124158,whitcbo01
124314,willige02
113675,dwyerfr01
116003,hodesch01
657524,bormajo01
818630,kempge01
122567,speckcl01
111990,careypa01
457708,uptonju01
817417,ruizan01
643617,reiniza01
116435,jackslo01
120269,pashnla01
406324,hernaad01
110645,bartlbi01
124081,weltedi01
116623,johnsro05
112016,carneed01
819209,hamilji01
818336,martife03
543548,milonto01
122771,steveto01
110378,augusda01
110682,batisto01
115732,heltoto01
113270,dennido01
820400,branige01
114830,giordto01
671109,ederja01
625643,lopezre01
686676,leeko01
818784,johns19
112196,chapmed01
819159,harrihe02
116139,hopkido01
820493,black05
818826,jeffewi01
664701,taylobe10
113823,ellisba01
816603,willibo03
117673,lemonma01
681715,hernahe01
118921,meistjo01
115171,grimsro02
119209,mizerjo01
817087,stile02
113042,dannebu01
119930,o'deapa01
656529,hentgsa01
543022,chatwty01
666198,kieboca01
606149,gallegi01
111467,brighha01
119192,mitchjo01
112362,clarkto01
121880,schulfr02
116679,jonesda01
492625,buckeal99
113941,evansto01
113603,dugasgu01
112571,connafr01
116007,hodgego01
624647,gonzavi02
115932,hillda01
818148,millefl01
820508,binghbi01
474284,rasmuco02
519437,withrch01
400099,romanja01
114724,gertelo01
818992,hollale01
113713,eastero01
121712,saundde01
113477,dormach01
121472,rossbu01
702284,youngco01
657088,wallfo01
116620,johnsbo01
122941,sullida01
446560,hugherh01
817201,smitheu01
115967,hinklgo01
113148,davismi01
110261,andreki01
122752,stephri01
117159,klingru01
115987,hoagmy01
673513,matsuyu01
118231,mangupe01
111804,butchma01
112036,carrema01
502162,castran01
819782,dialke01
122343,smilebi01
114251,floredo01
114623,garmami01
817369,santolo99
316792,rodrijo04
119417,morrijo02
110928,berroge01
118731,mcgrite01
120740,prallwi01
620445,mujicjo01
118219,malonse01
118592,mccordo01
137202,smithed05
136728,fussech01
819592,faganbo01
112205,chapmbe01
124481,wistete01
115687,hechimi01
120080,ortonjo01
123333,tidrodi01
115251,gunklfr01
115949,hillefr01
400136,smithja05
492658,leadlbo99
818732,johnsna01
123010,suzukma01
456744,schroch01
433595,thomach01
519445,worthda01
407897,snydeea01
123074,taborji01
122434,smithmi04
120154,pacilpa01
429720,mainejo01
118708,mcginda01
471863,hughelu01
115051,grasmlo01
820160,carte04
671056,herreiv01
120546,pickech01
119137,millijo02
467055,sandopa01
621139,kriskbr01
114463,fryech01
680716,orneljo01
118059,lystobi01
120191,palmera01
112498,colliha01
400156,rodriri03
425824,chavean02
818873,jacksed02
117608,leema01
120780,prothdo01
121242,rittwji01
122186,shorera01
112583,connobu01
116555,johnspe01
117129,kissibi01
114669,gearyhu01
449774,maclaev01
120241,parmero01
112828,crimija01
118065,mabryjo01
110931,berrych01
817583,reidam01
120741,pramejo01
111810,butlabi01
115578,hartsje01
650911,sanchcr01
122041,shaffta01
119981,olivaed01
124627,wyattwh01
116011,hodgspa01
123852,wallmu01
115612,haugear01
110282,ankenpa01
122970,sullite01
605353,machivi01
818073,moralca01
116605,johnske01
122996,sutclri01
120320,paynefr01
663878,pearsna01
110358,assenpa01
119915,ockeywa01
113060,darwida01
115797,hentgpa01
114398,freedro01
819932,crossno01
656730,megiltr01
605504,thomadi01
113399,dixonst01
819960,coxco01
407871,thursjo01
115325,halege01
816972,thomajo01
119298,moorega01
116495,janzema01
110661,bassra01
819400,geeri01
591994,garciwi01
115342,hallir01
