team,year,total_war,bat_war,pit_war,actual_w
CLE,1973,13.420000000000002,8.590000000000002,4.83,71
CIN,1973,43.480000000000004,30.130000000000003,13.35,99
KCA,1973,23.319999999999997,13.009999999999998,10.309999999999999,88
TEX,1973,5.909999999999999,3.92,1.9899999999999995,57
NYA,1973,24.729999999999997,7.279999999999999,17.45,80
ML4,1973,19.099999999999998,13.77,5.329999999999999,74
DET,1973,21.52,7.739999999999999,13.78,85
LAN,1973,48.980000000000004,29.430000000000003,19.55,95
HOU,1973,36.57,21.99,14.58,82
ATL,1974,42.09,23.830000000000002,18.26,88
CHN,1974,24.83,11.75,13.08,66
CHA,1974,23.870000000000005,8.270000000000001,15.600000000000001,80
NYA,1974,23.880000000000003,7.740000000000002,16.14,89
OAK,1974,32.699999999999996,9.909999999999998,22.79,90
SDN,1974,4.41,0.4600000000000002,3.95,60
CLE,1974,13.16,2.3000000000000007,10.86,77
PHI,1974,29.96,21.92,8.040000000000001,80
SFN,1974,28.509999999999998,17.11,11.4,72
LAN,1974,61.12,36.97,24.15,102
NYN,1974,37.71,17.75,19.96,71
MON,1974,30.14,13.45,16.69,79
BAL,1974,28.540000000000003,10.84,17.700000000000003,91
CIN,1974,57.46,42.58,14.88,98
BOS,1974,18.25,3.02,15.23,84
ML4,1974,11.990000000000002,0.8800000000000004,11.110000000000001,76
KCA,1974,28.680000000000003,9.280000000000001,19.400000000000002,77
CAL,1974,6.950000000000001,-6.699999999999999,13.65,68
MIN,1974,27.54,10.6,16.939999999999998,82
PIT,1974,49.98,32.92,17.059999999999995,88
DET,1974,-7.1400000000000015,-14.5,7.3599999999999985,72
SLN,1974,38.029999999999994,21.849999999999994,16.18,86
TEX,1974,31.17,10.889999999999999,20.280000000000005,84
HOU,1974,39.92,26.020000000000003,13.899999999999999,81
ML4,1975,12.149999999999999,9.339999999999998,2.81,68
SFN,1975,43.22,31.150000000000002,12.07,80
PHI,1975,48.699999999999996,32.589999999999996,16.11,86
NYA,1975,22.55,5.260000000000001,17.29,83
NYN,1975,38.22,18.929999999999996,19.29,82
HOU,1975,20.34,11.84,8.5,64
CIN,1975,56.510000000000005,41.86000000000001,14.650000000000002,108
CLE,1975,13.32,6.220000000000001,7.1000000000000005,79
LAN,1975,52.599999999999994,29.91,22.689999999999998,88
MON,1975,20.37,7.8100000000000005,12.56,75
ATL,1975,15.77,7.170000000000001,8.599999999999998,67
CAL,1975,6.590000000000002,-7.0600000000000005,13.650000000000002,72
DET,1975,8.8,-1.62,10.42,57
OAK,1975,37.19,20.24,16.95,98
BAL,1975,30.509999999999998,14.47,16.04,90
BOS,1975,27.040000000000003,16.770000000000003,10.27,95
CHN,1975,30.67,19.050000000000004,11.62,75
MIN,1975,17.33,10.89,6.4399999999999995,76
SLN,1975,46.209999999999994,27.059999999999995,19.15,82
KCA,1975,34.58,15.829999999999998,18.75,91
PIT,1975,42.400000000000006,24.240000000000002,18.16,92
TEX,1975,24.020000000000003,10.5,13.520000000000001,79
CHA,1975,21.259999999999998,9.959999999999999,11.3,75
SDN,1975,20.82,4.6,16.22,71
ML4,1976,6.639999999999999,-4.609999999999999,11.249999999999998,66
SFN,1976,31.059999999999995,11.429999999999998,19.63,74
CIN,1976,72.39,53.0,19.39,102
PHI,1976,65.75,38.28,27.47,101
SDN,1976,20.14,7.949999999999999,12.19,73
NYA,1976,32.14,12.46,19.68,97
SLN,1976,32.309999999999995,18.569999999999997,13.739999999999998,72
HOU,1976,28.25,17.4,10.850000000000003,80
CLE,1976,19.11,-3.3200000000000003,22.43,81
LAN,1976,32.81,15.13,17.68,92
OAK,1976,29.709999999999997,8.2,21.509999999999998,87
CHA,1976,11.189999999999998,-2.9200000000000004,14.109999999999998,64
BAL,1976,24.65,5.859999999999999,18.79,88
