mgr_id,year,team,mgr_name,games,wins,runs_for,runs_against,one_run_games,one_run_wins,extra_inn_games,extra_inn_wins,blowout_games,blowout_wins,total_pitchers_used,avg_opp_pitchers,sb,cs,winpct,pyth_winpct,pyth_expected_W,pyth_residual,one_run_winpct,extra_inn_winpct,blowout_winpct,close_games,close_wins,close_winpct,close_residual,bullpen_aggr,sb_attempts,sb_success,sb_per_game,bat_war,pit_war,top5_war,total_war,years_experience,career_games,predicted_pyth_resid,mgr_value,mgr_value_combined
frant001,2016,CLE,Terry Francona,161,94,777,676,49,28,12,6,42,24,665,4.024844720496894,1246,134,0.5838509316770186,0.5633631273508606,90.70146350348855,3.2985364965114456,0.5714285714285714,0.5,0.5714285714285714,61,34,0.5573770491803278,3.5,4.130434782608695,1380,0.9028985507246376,8.571428571428571,24.89,25.45,25.97,50.34,5,809,-1.105066,4.403602438322054,3.292521706825437
frant001,2017,CLE,Terry Francona,154,98,771,537,33,20,6,4,35,27,628,4.064935064935065,1099,82,0.6363636363636364,0.6596855436499715,101.5915737220956,-3.591573722095603,0.6060606060606061,0.6666666666666666,0.7714285714285715,39,24,0.6153846153846154,4.5,4.077922077922078,1181,0.930567315834039,7.6688311688311686,25.82,34.980000000000004,31.120000000000005,60.800000000000004,6,970,-3.6167011,0.025127404003029596,0.2875891828021207
frant001,2018,CLE,Terry Francona,162,91,818,648,46,22,13,4,42,28,671,4.3580246913580245,1189,135,0.5617283950617284,0.6049989027526039,98.00982224592184,-7.009822245921839,0.4782608695652174,0.3076923076923077,0.6666666666666666,59,26,0.4406779661016949,-3.5,4.1419753086419755,1324,0.898036253776435,8.17283950617284,23.82,30.65,34.94,54.47,7,1124,-5.5611506,-1.448671695079554,-1.2240701865556878
frant001,2019,CLE,Terry Francona,162,93,769,657,31,15,13,6,35,19,684,4.228395061728395,1332,103,0.5740740740740741,0.5715198297127254,92.58621241346151,0.4137875865384899,0.4838709677419355,0.46153846153846156,0.5428571428571428,44,21,0.4772727272727273,-1.0,4.222222222222222,1435,0.9282229965156794,8.858024691358025,22.729999999999997,17.67,24.27,40.4,8,1286,-2.082204,2.4959916900083385,1.6871941830058368
frant001,2022,CLE,Terry Francona,157,90,676,611,43,27,17,12,26,13,650,4.350318471337579,1083,115,0.5732484076433121,0.546120001978235,85.74084031058288,4.2591596894171175,0.627906976744186,0.7058823529411765,0.5,60,39,0.65,9.0,4.140127388535032,1198,0.9040066777963273,7.630573248407643,11.309999999999999,29.62,27.43,40.93,10,1545,2.232692,2.0264676861669955,1.9585273803168968
frant001,2023,CLE,Terry Francona,158,74,642,688,56,26,19,11,19,8,691,4.1835443037974684,1119,148,0.46835443037974683,0.46838299758345064,74.0045136181852,-0.00451361818520013,0.4642857142857143,0.5789473684210527,0.42105263157894735,75,37,0.49333333333333335,-0.5,4.3734177215189876,1267,0.8831886345698501,8.018987341772151,5.219999999999999,18.349999999999998,17.65,23.569999999999997,11,1702,-0.5433873,0.5388736756304127,0.3472115729412888
frant001,2025,CIN,Terry Francona,161,83,714,678,43,22,15,3,28,12,707,4.403726708074534,1408,105,0.515527950310559,0.5236514068662237,84.30787650546202,-1.3078765054620192,0.5116279069767442,0.2,0.42857142857142855,58,25,0.43103448275862066,-4.0,4.391304347826087,1513,0.930601454064772,9.397515527950311,6.3999999999999995,21.42,18.610000000000003,27.82,12,1860,-2.4750004,1.1671238760077074,0.5769867132053952
gardr001,2010,MIN,Ron Gardenhire,162,94,781,671,54,31,14,9,34,22,627,3.697530864197531,967,68,0.5802469135802469,0.5690080093714136,92.17929751816901,1.8207024818309918,0.5740740740740741,0.6428571428571429,0.6470588235294118,68,40,0.5882352941176471,6.0,3.8703703703703702,1035,0.9342995169082126,6.388888888888889,20.939999999999998,26.349999999999998,23.05,47.28999999999999,0,0,2.8450878,-1.024385284816347,-0.35706969937144295
gardr001,2011,MIN,Ron Gardenhire,162,63,619,804,59,27,10,6,34,11,619,3.6481481481481484,1048,92,0.3888888888888889,0.38259835627829464,61.98093371708373,1.0190662829162704,0.4576271186440678,0.6,0.3235294117647059,69,33,0.4782608695652174,-1.5,3.8209876543209877,1140,0.9192982456140351,7.037037037037037,-5.9399999999999995,13.02,13.65,7.08,1,162,1.0744227,-0.05535643417815095,-0.12874950392470566
gardr001,2012,MIN,Ron Gardenhire,159,65,696,818,53,25,13,8,32,11,649,3.880503144654088,1046,134,0.4088050314465409,0.4266412298978442,67.83595555375723,-2.8359555537572305,0.4716981132075472,0.6153846153846154,0.34375,66,33,0.5,0.0,4.081761006289308,1180,0.8864406779661017,7.421383647798742,14.84,6.4399999999999995,21.22,21.28,2,324,-2.8635068,0.02755124021859956,0.019285868153019692
gardr001,2013,MIN,Ron Gardenhire,161,66,613,781,49,24,16,9,29,9,668,4.099378881987578,1420,52,0.40993788819875776,0.3909680963968317,62.945863519889905,3.0541364801100954,0.4897959183673469,0.5625,0.3103448275862069,65,33,0.5076923076923077,0.5,4.149068322981367,1472,0.9646739130434783,9.142857142857142,1.8700000000000003,16.99,16.55,18.86,3,483,3.561869,-0.5077324259110227,-0.3254126981377159
gardr001,2014,MIN,Ron Gardenhire,160,68,698,775,45,21,13,6,25,13,648,4.1375,1313,99,0.425,0.45227117234745606,72.36338757559297,-4.3633875755929665,0.4666666666666667,0.46153846153846156,0.52,58,27,0.46551724137931033,-2.0,4.05,1412,0.9298866855524079,8.825,7.509999999999999,22.380000000000003,24.159999999999997,29.89,4,644,5.0334234,-9.396810999360056,-6.697767699552039
gardr001,2018,DET,Ron Gardenhire,162,64,630,796,52,22,10,5,28,4,704,4.006172839506172,1341,70,0.3950617283950617,0.394604195499355,63.92587967089551,0.07412032910448829,0.4230769230769231,0.5,0.14285714285714285,62,27,0.43548387096774194,-4.0,4.345679012345679,1411,0.9503897944720057,8.709876543209877,-3.8199999999999994,9.05,13.49,5.230000000000001,5,804,-1.6001437,1.674264000140255,0.9319848000981783
gardr001,2019,DET,Ron Gardenhire,161,47,582,915,36,14,16,6,33,5,738,4.142857142857143,1595,57,0.2919254658385093,0.3040702163516811,48.955304832620655,-1.955304832620655,0.3888888888888889,0.375,0.15151515151515152,52,20,0.38461538461538464,-6.0,4.583850931677019,1652,0.965496368038741,10.26086956521739,-3.78,2.6000000000000005,9.07,-1.1799999999999993,6,966,0.011898242,-1.9672030745578155,-1.7370421521904706
