_name,_pid,projected_war,projection_std,total_pa,avg_woba,highest_level,_in_mlb
Juan Ortuno,821187,4.5,23.8,192.0,0.413,0,False
Leonardo Reginatto,553891,4.5,23.7,470.0,0.3145,-1,False
Anthony García,571685,4.5,22.8,318.0,0.3276666666666666,-1,False
Derwin Laya,698978,4.5,22.8,510.0,0.30666666666666664,0,False
Anielson Buten,808004,4.5,23.9,384.0,0.3325,0,False
Roger Lasso,699068,4.5,22.6,469.0,0.3688,0,False
Angel Cruz,682881,4.5,22.8,306.0,0.3393333333333333,0,False
Patrick Merino,691193,4.5,23.7,120.0,0.406,0,False
Ethan De Cuba,691489,4.5,23.1,214.0,0.29,0,False
Jose Pirela,808141,4.5,23.7,454.0,0.347,2,False
Robinson Chirinos,455139,4.5,24.8,115.0,0.33,-1,True
Geury Estevez,682882,4.5,23.4,479.0,0.3486666666666666,0,False
Roel Santos,661270,4.5,23.7,331.0,0.31000000000000005,-1,False
Armando Sierra,699152,4.5,23.0,445.0,0.34366666666666673,0,False
Jose Anderson,821262,4.5,24.2,197.0,0.393,0,False
Gustavo Marquez,808009,4.5,23.9,367.0,0.326,0,False
Alfonzo Martinez,808273,4.5,23.3,329.0,0.331,0,False
Jasson Atondo,662962,4.5,22.6,453.0,0.2703333333333333,-1,False
Facundo Velasquez,808278,4.5,22.9,371.0,0.33299999999999996,0,False
Jake Bowey,649135,4.5,24.5,289.0,0.383,-1,False
Heriberto Rincon,808298,4.5,23.2,363.0,0.305,0,False
Geuri Lubo,702895,4.5,23.5,388.0,0.31466666666666665,0,False
Gustavo Campero,672569,4.5,20.0,972.0,0.391,5,True
Sebastian Valle,516679,4.5,23.8,371.0,0.28400000000000003,-1,False
Jeffry Rosa,800251,4.5,22.9,520.0,0.321,2,False
Gabriel Araujo,800250,4.5,23.4,412.0,0.3436,0,False
Fernando Villegas,679589,4.5,23.0,383.0,0.34199999999999997,-1,False
Jancory De La Cruz,808519,4.5,23.6,393.0,0.326,0,False
Kelvin Diaz,692840,4.5,23.6,426.0,0.3025,2,False
Elisandro Alcantara,692583,4.5,24.0,330.0,0.3785,0,False
Andy Encarnacion,800287,4.5,22.5,512.0,0.30575,0,False
Marcelo Alcala,808708,4.5,22.7,288.0,0.362,0,False
Leandro Alsinois,802098,4.5,23.7,471.0,0.33466666666666667,0,False
Marco Vargas,804614,4.5,22.5,694.0,0.3646666666666667,2,False
Rafael Ramirez,800269,4.5,22.4,376.0,0.2853333333333334,0,False
Yorfran Medina,800337,4.5,23.6,348.0,0.3746666666666667,0,False
Richard Ramirez,800197,4.5,22.7,436.0,0.3203333333333333,0,False
Carlos Cauro,803426,4.5,22.5,410.0,0.34025,2,False
Axell De Paula,800258,4.5,22.8,307.0,0.3235,0,False
Curley Martha,815907,4.5,23.1,248.0,0.363,0,False
Daniel Gaitor,808688,4.5,23.7,334.0,0.3193333333333333,0,False
Daniel Lopez,808693,4.5,23.4,349.0,0.3806666666666667,0,False
Milo Rushford,806299,4.5,22.7,480.0,0.3074,2,False
Kedaur Trujillo,806014,4.5,24.1,372.0,0.38650000000000007,2,False
Douglas Glod,800180,4.5,22.3,564.0,0.31825,2,False
Carlos Sanchez,800176,4.5,22.9,873.0,0.3685,2,False
Juan Murillo,800219,4.5,23.1,268.0,0.362,0,False
Orlando Pina,669315,4.5,22.8,433.0,0.27949999999999997,-1,False
Jairo Mendez,691493,4.5,22.6,336.0,0.30466666666666664,0,False
Omar Nuel,691496,4.5,23.9,264.0,0.3056666666666667,0,False
Emilio Sanchez,815916,4.5,22.8,203.0,0.334,0,False
Ramiro Altagracia,694219,4.5,23.4,431.0,0.31533333333333335,0,False
Leo Heras,511428,4.5,23.5,410.0,0.32199999999999995,-1,False
Josh Reddick,502210,4.5,24.1,170.0,0.325,-1,True
Jose Meza,691561,4.5,22.0,912.0,0.3708,2,False
Jose Hernandez,691559,4.5,24.2,317.0,0.3646666666666667,0,False
David Rodríguez,630034,4.5,23.3,601.0,0.3786666666666667,5,False
Carlos Jimenez,692039,4.5,23.5,798.0,0.3764,2,False
Brian Sanchez,809331,4.5,22.9,403.0,0.35000000000000003,2,False
Oswaldo Ladera,692360,4.5,22.6,333.0,0.3355,0,False
Fernando Perez,622047,4.5,22.4,453.0,0.2816666666666667,-1,False
Luis Torres,801230,4.5,22.8,528.0,0.305,2,False
Jaron Elkins,814696,4.5,23.4,321.0,0.319,2,False
Missael Rivera,668992,4.5,22.5,404.0,0.3175,-1,False
Reminton Batista,800360,4.5,23.2,344.0,0.2805,0,False
Franyer Noria,800356,4.5,22.5,379.0,0.3333333333333333,0,False
Joel Mendez,693795,4.5,23.5,577.0,0.35075,2,False
Moises De La Rosa,800319,4.5,22.7,389.0,0.3606666666666667,0,False
Jesmuel Valentín,621044,4.5,23.5,343.0,0.299,-1,True
