last_name,first_name,player_id,year,n_called_pitches,runs_extra_strikes,strike_rate,strike_rate_11,strike_rate_12,strike_rate_13,strike_rate_14,strike_rate_16,strike_rate_17,strike_rate_18,strike_rate_19,id,name,pitches,rv_tot,pct_tot,rv_11,pct_11,rv_12,pct_12,rv_13,pct_13,rv_14,pct_14,rv_16,pct_16,rv_17,pct_17,rv_18,pct_18,rv_19,pct_19
Navarro,Dioner,425900.0,2015,1068.0,-3.0,43.5,24.2,41.2,20.0,77.9,58.5,30.6,28.6,14.6,,,,,,,,,,,,,,,,,,,,,
Bethancourt,Christian,542194.0,2015,1218.0,-3.0,43.4,16.9,30.0,7.3,83.3,46.4,43.4,40.8,10.6,,,,,,,,,,,,,,,,,,,,,
Ramos,Wilson,467092.0,2015,3247.0,-3.0,46.7,34.2,50.4,17.3,82.3,51.3,27.1,35.2,7.8,,,,,,,,,,,,,,,,,,,,,
Phegley,Josh,572033.0,2015,1800.0,-4.0,45.8,14.3,19.3,5.3,79.9,54.4,34.8,47.6,26.0,,,,,,,,,,,,,,,,,,,,,
Herrmann,Chris,543302.0,2015,868.0,-4.0,42.5,18.2,37.9,10.8,63.7,58.5,32.4,36.3,16.5,,,,,,,,,,,,,,,,,,,,,
Butera,Drew,460077.0,2015,1033.0,-4.0,44.1,16.4,32.1,10.2,75.3,61.9,43.9,39.7,15.9,,,,,,,,,,,,,,,,,,,,,
Garneau,Dustin,572863.0,2015,601.0,-5.0,34.3,20.5,23.1,10.5,76.7,44.6,19.6,22.8,1.4,,,,,,,,,,,,,,,,,,,,,
Rupp,Cameron,519237.0,2015,2173.0,-5.0,44.5,16.5,30.4,13.3,76.5,59.8,25.8,42.8,21.2,,,,,,,,,,,,,,,,,,,,,
Saltalamacchia,Jarrod,457454.0,2015,1314.0,-5.0,43.9,16.4,33.6,16.3,73.6,61.9,23.6,35.7,18.8,,,,,,,,,,,,,,,,,,,,,
León,Sandy,506702.0,2015,958.0,-5.0,42.9,18.3,45.7,16.4,70.5,47.3,34.3,40.6,15.7,,,,,,,,,,,,,,,,,,,,,
McCann,Brian,435263.0,2015,3562.0,-5.0,45.9,21.3,22.7,4.5,82.5,48.7,44.5,46.4,15.7,,,,,,,,,,,,,,,,,,,,,
Peña,Brayan,430910.0,2015,2489.0,-5.0,43.7,21.0,34.2,15.8,72.0,58.9,36.2,34.9,19.5,,,,,,,,,,,,,,,,,,,,,
Avila,Alex,488671.0,2015,1297.0,-6.0,42.8,19.1,32.4,16.1,73.2,54.2,35.2,38.8,13.2,,,,,,,,,,,,,,,,,,,,,
Gomes,Yan,543228.0,2015,2419.0,-6.0,44.2,16.1,33.3,14.4,83.3,46.0,41.9,43.9,11.8,,,,,,,,,,,,,,,,,,,,,
Chirinos,Robinson,455139.0,2015,2366.0,-7.0,44.6,14.0,34.2,4.1,75.7,56.2,36.1,42.9,20.4,,,,,,,,,,,,,,,,,,,,,
Realmuto,J.T.,592663.0,2015,3293.0,-7.0,44.5,15.9,31.3,9.8,72.2,54.6,36.2,47.6,17.9,,,,,,,,,,,,,,,,,,,,,
Ellis,A.J.,454560.0,2015,1616.0,-7.0,41.0,24.1,51.2,10.4,72.1,59.9,19.9,23.3,10.3,,,,,,,,,,,,,,,,,,,,,
Pierzynski,A.J.,150229.0,2015,2990.0,-8.0,44.6,21.8,39.5,14.4,77.3,57.6,37.6,32.7,15.7,,,,,,,,,,,,,,,,,,,,,
Swihart,Blake,596119.0,2015,2444.0,-8.0,42.6,15.9,39.0,16.5,65.6,61.8,27.3,36.6,21.6,,,,,,,,,,,,,,,,,,,,,
Suzuki,Kurt,435559.0,2015,3566.0,-10.0,45.8,13.0,25.7,8.1,75.0,59.5,41.3,44.1,23.4,,,,,,,,,,,,,,,,,,,,,
Hundley,Nick,460026.0,2015,2914.0,-11.0,42.4,21.3,36.8,16.8,71.2,64.5,25.1,30.0,15.6,,,,,,,,,,,,,,,,,,,,,
Ruiz,Carlos,434563.0,2015,2424.0,-11.0,42.9,14.3,32.2,12.6,72.0,49.4,36.9,46.1,11.6,,,,,,,,,,,,,,,,,,,,,
McCann,James,543510.0,2015,3155.0,-15.0,43.0,16.9,42.4,15.6,69.3,60.1,27.5,35.9,16.0,,,,,,,,,,,,,,,,,,,,,
Perez,Salvador,521692.0,2015,4352.0,-16.0,44.2,23.3,36.1,13.4,73.7,58.4,32.3,40.3,18.2,,,,,,,,,,,,,,,,,,,,,
League Average,,,2016,147889.0,0.0,45.9,19.3,37.4,13.4,74.6,58.5,34.7,43.5,20.4,,,,,,,,,,,,,,,,,,,,,
Posey,Buster,457763.0,2016,3482.0,31.0,53.2,27.1,43.7,13.9,80.0,68.7,38.8,50.4,24.7,,,,,,,,,,,,,,,,,,,,,
Grandal,Yasmani,518735.0,2016,3300.0,28.0,52.8,28.8,48.9,23.0,74.6,71.8,31.1,47.5,29.8,,,,,,,,,,,,,,,,,,,,,
Martin,Russell,431145.0,2016,3722.0,15.0,48.0,18.2,37.8,14.9,79.9,59.5,43.1,46.8,18.4,,,,,,,,,,,,,,,,,,,,,
Cervelli,Francisco,465041.0,2016,2733.0,14.0,49.7,15.6,21.2,2.9,71.8,56.5,51.6,57.7,27.3,,,,,,,,,,,,,,,,,,,,,
Castro,Jason,488771.0,2016,3114.0,12.0,49.0,22.7,41.7,18.3,72.7,68.5,35.5,43.3,23.6,,,,,,,,,,,,,,,,,,,,,
Molina,Yadier,425877.0,2016,4089.0,11.0,47.0,19.5,46.5,11.8,71.6,61.7,33.5,44.1,22.0,,,,,,,,,,,,,,,,,,,,,
Montero,Miguel,471083.0,2016,1915.0,9.0,50.6,17.2,39.8,18.0,75.6,60.8,36.9,54.9,33.2,,,,,,,,,,,,,,,,,,,,,
d'Arnaud,Travis,518595.0,2016,2100.0,9.0,51.4,28.7,39.7,16.5,76.8,65.6,38.0,52.0,26.4,,,,,,,,,,,,,,,,,,,,,
Pérez,Roberto,547379.0,2016,1814.0,9.0,50.2,23.3,54.2,20.2,77.0,66.5,30.9,40.5,18.9,,,,,,,,,,,,,,,,,,,,,
Flowers,Tyler,452095.0,2016,2247.0,9.0,50.5,9.8,29.8,8.0,76.3,58.6,49.4,62.7,29.3,,,,,,,,,,,,,,,,,,,,,
