player_name,player_id,year,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,max_ev,hard_hit_percent,k_percent,bb_percent,whiff_percent,chase_percent,arm_strength,xera,fb_velocity,fb_spin,curve_spin
"Smyly, Drew",592767,2024,62.0,55.0,66.0,70.0,39.0,77.0,75.0,39.0,18,53.0,40.0,25.0,47.0,38.0,,62.0,28.0,29.0,18.0
"Strzelecki, Peter",657265,2024,,,,,,,,,25,,,,,,,,21.0,89.0,
"Voth, Austin",608723,2024,77.0,82.0,65.0,49.0,84.0,64.0,47.0,98.0,9,99.0,63.0,62.0,89.0,81.0,,77.0,41.0,64.0,89.0
"Miller, Bobby",676272,2024,1.0,1.0,1.0,2.0,1.0,40.0,3.0,1.0,8,2.0,27.0,10.0,35.0,7.0,,1.0,94.0,60.0,68.0
"Myers, Tobias",668964,2024,42.0,32.0,31.0,31.0,57.0,21.0,43.0,23.0,7,50.0,44.0,77.0,15.0,50.0,,42.0,31.0,43.0,25.0
"Bido, Osvaldo",674370,2024,94.0,98.0,99.0,96.0,79.0,93.0,93.0,99.0,39,100.0,60.0,23.0,57.0,30.0,,94.0,63.0,79.0,
"Beede, Tyler",595881,2024,,,,,,,,,63,,,,,,,,35.0,1.0,6.0
"Winn, Cole",668390,2024,,,,,,,,,27,,,,,,,,70.0,83.0,
"Vieira, Thyago",600986,2024,,,,,,,,,6,,,,,,,,93.0,49.0,
"Mederos, Victor",682989,2024,,,,,,,,,44,,,,,,,,88.0,71.0,
"Bush, Ky",681066,2024,,,,,,,,,84,,,,,,,,16.0,27.0,
"Buehler, Walker",621111,2024,19.0,17.0,24.0,35.0,21.0,47.0,68.0,65.0,53,58.0,16.0,48.0,7.0,8.0,,19.0,65.0,45.0,56.0
"Stripling, Ross",548389,2024,14.0,1.0,14.0,52.0,18.0,38.0,69.0,65.0,44,78.0,1.0,84.0,2.0,54.0,,14.0,11.0,17.0,44.0
"Kelly, Zack",677161,2024,39.0,67.0,35.0,16.0,37.0,54.0,12.0,87.0,15,95.0,70.0,13.0,70.0,25.0,,39.0,87.0,30.0,
"Funderburk, Kody",681892,2024,,,,,,,,,34,,,,,,,,36.0,57.0,
"Taylor, Troy",700187,2024,,,,,,,,,12,,,,,,,,91.0,86.0,
"Imanaga, Shota",684007,2024,77.0,58.0,50.0,41.0,90.0,6.0,30.0,56.0,15,44.0,67.0,97.0,72.0,97.0,,77.0,15.0,87.0,33.0
"Rosenberg, Kenny",670046,2024,,,,,,,,,20,,,,,,,,6.0,35.0,
"Phillips, Evan",623465,2024,82.0,70.0,77.0,80.0,78.0,88.0,80.0,97.0,2,91.0,81.0,57.0,68.0,41.0,,82.0,82.0,79.0,
"Suarez, Ranger",624133,2024,64.0,32.0,68.0,86.0,55.0,36.0,88.0,89.0,8,83.0,52.0,73.0,20.0,68.0,,64.0,11.0,2.0,10.0
"Strahm, Matt",621381,2024,98.0,96.0,92.0,77.0,99.0,83.0,63.0,39.0,26,60.0,96.0,95.0,59.0,85.0,,98.0,38.0,93.0,
"Herget, Kevin",643361,2024,,,,,,,,,87,,,,,,,,31.0,39.0,
"Eovaldi, Nathan",543135,2024,55.0,37.0,50.0,58.0,65.0,15.0,49.0,35.0,17,17.0,57.0,81.0,61.0,87.0,,55.0,71.0,35.0,1.0
"Smith, Cade",671922,2024,98.0,95.0,95.0,88.0,98.0,61.0,35.0,11.0,1,15.0,98.0,83.0,84.0,37.0,,98.0,80.0,59.0,
"McCaughan, Darren",670766,2024,,,,,,,,,33,,,,,,,,3.0,19.0,
"Junis, Jakob",596001,2024,55.0,30.0,25.0,25.0,82.0,50.0,35.0,19.0,5,18.0,27.0,99.0,42.0,44.0,,55.0,19.0,31.0,
"Manaea, Sean",640455,2024,57.0,67.0,57.0,48.0,62.0,16.0,54.0,56.0,12,58.0,66.0,41.0,54.0,49.0,,57.0,23.0,7.0,
"Herz, DJ",687792,2024,79.0,86.0,78.0,66.0,77.0,42.0,41.0,32.0,25,81.0,81.0,29.0,78.0,41.0,,79.0,40.0,70.0,9.0
"Mize, Casey",663554,2024,17.0,4.0,20.0,54.0,21.0,30.0,46.0,7.0,4,8.0,10.0,75.0,21.0,33.0,,17.0,73.0,48.0,7.0
"Devenski, Chris",606965,2024,,,,,,,,,54,,,,,,,,33.0,80.0,
"Harris, Hogan",663687,2024,9.0,17.0,20.0,23.0,5.0,54.0,61.0,47.0,30,42.0,26.0,17.0,13.0,5.0,,9.0,31.0,52.0,57.0
"Chapman, Aroldis",547973,2024,90.0,99.0,98.0,86.0,71.0,88.0,63.0,9.0,39,27.0,99.0,1.0,91.0,23.0,,90.0,98.0,79.0,
"Roupp, Landen",694738,2024,49.0,47.0,74.0,85.0,18.0,93.0,90.0,42.0,45,46.0,39.0,8.0,48.0,25.0,,49.0,56.0,13.0,94.0
"Ferguson, Caleb",657571,2024,42.0,37.0,63.0,77.0,19.0,83.0,74.0,68.0,18,62.0,78.0,23.0,58.0,57.0,,42.0,47.0,38.0,
"García, Deivi",665620,2024,,,,,,,,,68,,,,,,,,67.0,52.0,
"Boyd, Matthew",571510,2024,,,,,,,,,51,,,,,,,,19.0,73.0,25.0
"Thompson, Ryan",657044,2024,50.0,25.0,43.0,60.0,64.0,54.0,56.0,19.0,19,8.0,19.0,87.0,28.0,94.0,,50.0,11.0,10.0,
"Kinley, Tyler",641755,2024,27.0,41.0,31.0,24.0,17.0,50.0,23.0,81.0,26,88.0,70.0,10.0,93.0,79.0,,27.0,78.0,79.0,
"Dubin, Shawn",681869,2024,50.0,76.0,82.0,82.0,27.0,83.0,49.0,30.0,32,18.0,55.0,4.0,56.0,4.0,,50.0,65.0,73.0,76.0
"Avila, Pedro",658648,2024,21.0,18.0,38.0,60.0,8.0,72.0,87.0,27.0,37,25.0,52.0,22.0,45.0,39.0,,21.0,36.0,53.0,79.0
"Hudson, Daniel",543339,2024,57.0,81.0,24.0,5.0,87.0,38.0,2.0,11.0,27,1.0,66.0,57.0,91.0,11.0,,57.0,67.0,94.0,
"Barnes, Jacob",606930,2024,13.0,5.0,6.0,12.0,24.0,64.0,75.0,42.0,27,25.0,25.0,63.0,46.0,56.0,,13.0,71.0,92.0,
"Suarez, Robert",663158,2024,89.0,78.0,72.0,62.0,91.0,61.0,49.0,42.0,67,35.0,49.0,78.0,40.0,75.0,,89.0,99.0,87.0,
"Flexen, Chris",623167,2024,16.0,22.0,13.0,13.0,28.0,6.0,41.0,53.0,11,61.0,10.0,35.0,27.0,38.0,,16.0,12.0,26.0,57.0
"Slaten, Justin",686580,2024,82.0,53.0,75.0,84.0,87.0,96.0,96.0,76.0,37,67.0,72.0,97.0,76.0,97.0,,82.0,86.0,84.0,71.0
"Lugo, Seth",607625,2024,57.0,43.0,48.0,51.0,72.0,2.0,43.0,58.0,11,47.0,39.0,86.0,25.0,41.0,,57.0,21.0,83.0,100.0
"Senzatela, Antonio",622608,2024,,,,,,,,,49,,,,,,,,61.0,34.0,
"Cobb, Alex",502171,2024,,,,,,,,,78,,,,,,,,45.0,6.0,
"Morton, Charlie",450203,2024,24.0,40.0,36.0,31.0,19.0,6.0,19.0,53.0,15,52.0,56.0,31.0,54.0,44.0,,24.0,50.0,41.0,96.0
"Bazardo, Eduard",660825,2024,,,,,,,,,74,,,,,,,,54.0,19.0,
"Rasmussen, Drew",656876,2024,,,,,,,,,71,,,,,,,,90.0,94.0,
"Weems, Jordan",607179,2024,,,,,,,,,35,,,,,,,,80.0,16.0,
"Jarvis, Bryce",686826,2024,5.0,10.0,19.0,33.0,1.0,64.0,63.0,9.0,18,37.0,2.0,3.0,19.0,16.0,,5.0,73.0,15.0,
"Weissert, Greg",669711,2024,71.0,35.0,66.0,83.0,60.0,77.0,81.0,47.0,51,35.0,43.0,56.0,10.0,72.0,,71.0,45.0,30.0,
